Date,CCI Value,CCI Rolling Mean,CCI Rolling Percent Change,CPI Value,CPI Rolling Mean,CPI Rolling Percent Change,Unemployment Rate (%),Unemployment Rate (%) Rolling Mean,Unemployment Rate Rolling Percent Change,CCI Rolling Percent Change Flag,CPI Rolling Percent Change Flag,Unemployment Rate Rolling Percent Change Flag,Economic Climate
1985-03-01,100.9442,101.23649166666667,0.3830848706389389,106.8,104.86666666666667,4.120469965249063,7.4,7.916666666666667,-19.89881956155144,positive,positive,negative,Comfortable to Good
1985-04-01,100.9453,101.19734166666667,0.24195232603925199,107.0,105.175,4.039238315060567,7.3,7.800000000000001,-20.068317677198966,positive,positive,negative,Comfortable to Good
1985-05-01,100.9463,101.16481666666665,0.15302077429435457,107.2,105.48333333333333,3.975685887957936,7.3,7.699999999999999,-19.861231569817882,positive,positive,negative,Comfortable to Good
1985-06-01,101.0066,101.141375,0.08950107008742769,107.5,105.80000000000001,3.9207661455349374,7.3,7.616666666666666,-19.329214474845546,positive,positive,negative,Comfortable to Good
1985-07-01,100.9353,101.10605833333334,0.005431885149342897,107.7,106.10000000000001,3.8499184339314985,7.3,7.541666666666667,-18.61510791366905,positive,positive,negative,Comfortable to Good
1985-08-01,100.7866,101.047775,-0.1233535866809854,107.9,106.39166666666667,3.77143786068439,7.3,7.483333333333333,-17.539026629935726,negative,positive,negative,Lean to Bad
1985-09-01,100.6355,100.97501666666666,-0.277678515435531,108.1,106.67500000000001,3.6854041794913472,7.3,7.433333333333334,-16.32270168855534,negative,positive,negative,Lean to Bad
1985-10-01,100.5373,100.908075,-0.41169412651193005,108.5,106.95833333333333,3.59996771329405,7.2,7.383333333333334,-15.13409961685822,negative,positive,negative,Lean to Bad
1985-11-01,100.6435,100.86515000000001,-0.49105737898182955,109.0,107.26666666666667,3.54758265626256,7.2,7.341666666666666,-13.880742913000987,negative,positive,negative,Lean to Bad
1985-12-01,100.8623,100.85143333333333,-0.5034198894141917,109.5,107.60000000000001,3.527902501603597,7.2,7.308333333333334,-12.562313060817553,negative,positive,negative,Lean to Bad
1986-01-01,101.0477,100.85469166666667,-0.4701747200905326,109.9,107.94999999999999,3.5657179405180317,7.1,7.2749999999999995,-11.28048780487807,negative,positive,negative,Lean to Bad
1986-02-01,101.1361,100.86889166666667,-0.4117550699903716,109.7,108.23333333333333,3.531287365484248,7.1,7.25,-9.937888198757749,negative,positive,negative,Lean to Bad
1986-03-01,101.1612,100.886975,-0.34524770753364686,109.1,108.425,3.393197711379514,7.1,7.224999999999999,-8.736842105263175,negative,positive,negative,Lean to Bad
1986-04-01,101.2016,100.90833333333332,-0.2855888589300304,108.7,108.56666666666666,3.2247840900087255,7.1,7.208333333333333,-7.585470085470103,negative,positive,negative,Lean to Bad
1986-05-01,101.2608,100.93454166666668,-0.22762360234261925,109.0,108.71666666666665,3.065255174593129,7.1,7.191666666666666,-6.601731601731597,negative,positive,negative,Lean to Bad
1986-06-01,101.3571,100.96374999999999,-0.1756205113881526,109.4,108.875,2.9064272211720033,7.1,7.175000000000001,-5.798687089715527,negative,positive,negative,Lean to Bad
1986-07-01,101.2988,100.99404166666666,-0.11079125080454277,109.5,109.02499999999999,2.7568331762487963,7.1,7.158333333333334,-5.082872928176785,negative,positive,negative,Lean to Bad
1986-08-01,101.1197,101.02179999999998,-0.025705662494812653,109.6,109.16666666666667,2.608286989895836,7.0,7.133333333333333,-4.677060133630295,negative,positive,negative,Lean to Bad
1986-09-01,100.9487,101.04790000000001,0.07217957049112655,110.0,109.32499999999999,2.484180923365331,7.0,7.108333333333333,-4.372197309417047,positive,positive,negative,Comfortable to Good
1986-10-01,100.8575,101.07458333333334,0.16500991950678667,110.2,109.46666666666665,2.345149980521999,7.0,7.091666666666666,-3.950338600451486,positive,positive,negative,Comfortable to Good
1986-11-01,100.6767,101.07735000000001,0.2103798983097649,110.4,109.58333333333333,2.159726538222495,7.0,7.075,-3.6322360953461863,positive,positive,negative,Comfortable to Good
1986-12-01,100.5248,101.04922499999999,0.19612182011625734,110.8,109.69166666666666,1.943928128872363,7.0,7.058333333333334,-3.420752565564422,positive,positive,negative,Comfortable to Good
1987-01-01,100.4927,101.002975,0.14702670830963882,111.4,109.81666666666666,1.7291956152539756,7.0,7.05,-3.0927835051546393,positive,positive,negative,Comfortable to Good
1987-02-01,100.5229,100.95187499999999,0.08226850911334793,111.8,109.99166666666667,1.6245765321835526,6.9,7.033333333333334,-2.9885057471264243,positive,positive,negative,Comfortable to Good
1987-03-01,100.5955,100.90473333333334,0.017602206165201473,112.2,110.25,1.6831911459534332,6.9,7.016666666666667,-2.8835063437139374,positive,positive,negative,Comfortable to Good
1987-04-01,100.675,100.86085000000001,-0.04705590882811972,112.7,110.58333333333333,1.857537611298743,6.8,6.991666666666666,-3.0057803468208077,negative,positive,negative,Lean to Bad
1987-05-01,100.7078,100.81476666666667,-0.11866601663041987,113.0,110.91666666666667,2.023608768971341,6.8,6.966666666666668,-3.1286210892236266,negative,positive,negative,Lean to Bad
1987-06-01,100.7798,100.76665833333334,-0.19521032713885056,113.5,111.25833333333333,2.189054726368145,6.7,6.933333333333333,-3.368176538908263,negative,positive,negative,Lean to Bad
1987-07-01,100.8821,100.73193333333334,-0.2595285117892532,113.8,111.61666666666666,2.3771306275319093,6.6,6.891666666666667,-3.72526193247964,negative,positive,negative,Lean to Bad
1987-08-01,100.8868,100.71252500000001,-0.3061467920785099,114.3,112.00833333333334,2.6030534351145107,6.5,6.8500000000000005,-3.971962616822411,negative,positive,negative,Lean to Bad
1987-09-01,100.7043,100.69215833333332,-0.35205250843084457,114.7,112.39999999999999,2.8127143837182844,6.4,6.8,-4.337631887456039,negative,positive,negative,Lean to Bad
1987-10-01,100.3618,100.65084999999999,-0.41922837508606703,115.0,112.8,3.0450669914738215,6.4,6.75,-4.81786133960046,negative,positive,negative,Lean to Bad
1987-11-01,100.091,100.60204166666665,-0.4702421792155853,115.4,113.21666666666665,3.3155893536121583,6.3,6.691666666666666,-5.418138987043585,negative,positive,negative,Lean to Bad
1987-12-01,100.162,100.57180833333332,-0.4724595034416801,115.6,113.61666666666666,3.5782116538782827,6.2,6.625,-6.139315230224329,negative,positive,negative,Lean to Bad
1988-01-01,100.4216,100.56588333333333,-0.4327512795209043,116.0,114.0,3.809379268477775,6.1,6.55,-7.092198581560282,negative,positive,negative,Lean to Bad
1988-02-01,100.6591,100.57723333333333,-0.37110917124288934,116.2,114.36666666666666,3.977574058640787,6.0,6.474999999999999,-7.938388625592441,negative,positive,negative,Lean to Bad
1988-03-01,100.82,100.59594166666666,-0.30602297480595286,116.5,114.72500000000001,4.058956916099787,6.0,6.3999999999999995,-8.78859857482186,negative,positive,negative,Lean to Bad
1988-04-01,100.8632,100.611625,-0.2470978580886518,117.2,115.10000000000001,4.084400904295404,5.9,6.325,-9.535160905840279,negative,positive,negative,Lean to Bad
